s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-0.7246,0.3438,0.300,NORMAL,1
0.4397,-0.3273,0.1553,0.300,NORMAL,1
0.8794,0.0700,-0.0332,0.300,NORMAL,1
1.3192,0.4672,-0.2217,0.300,NORMAL,1
1.7589,0.8645,-0.4102,0.300,NORMAL,1
2.1986,1.2618,-0.5986,0.300,NORMAL,1
2.6383,1.6590,-0.7871,0.300,NORMAL,1
3.0837,2.0826,-0.9250,0.300,NORMAL,1
3.5092,2.4660,-1.1095,0.300,NORMAL,1
3.9328,2.8185,-1.3445,0.300,NORMAL,1
4.3564,3.1709,-1.5794,0.300,NORMAL,1
4.7800,3.5234,-1.8143,0.300,NORMAL,1
5.2115,3.9150,-1.9955,0.300,NORMAL,1
5.7020,4.3128,-2.2826,0.300,NORMAL,1
6.1912,4.6732,-2.6134,0.300,NORMAL,1
6.6805,5.0335,-2.9443,0.300,NORMAL,1
7.1697,5.3939,-3.2751,0.300,NORMAL,1
7.6607,5.7772,-3.5820,0.300,NORMAL,1
8.1534,6.1349,-3.9208,0.300,NORMAL,1
8.6457,6.4688,-4.2825,0.300,NORMAL,1
9.1379,6.8028,-4.6442,0.300,NORMAL,1
9.6317,7.1592,-4.9859,0.300,NORMAL,1
10.0569,7.4480,-5.2980,0.300,NORMAL,1
10.4815,7.7099,-5.6322,0.300,NORMAL,1
10.9061,7.9718,-5.9664,0.300,NORMAL,1
11.3307,8.2337,-6.3006,0.300,NORMAL,1
11.7557,8.5075,-6.6256,0.300,NORMAL,1
12.1977,8.7787,-6.9746,0.300,NORMAL,1
12.6395,9.0382,-7.3323,0.300,NORMAL,1
13.0814,9.2977,-7.6899,0.300,NORMAL,1
13.5233,9.5572,-8.0476,0.300,NORMAL,1
13.9659,9.8335,-8.3934,0.300,NORMAL,1
14.4606,10.1194,-8.7971,0.300,NORMAL,1
14.9551,10.3901,-9.2109,0.300,NORMAL,1
15.4496,10.6607,-9.6248,0.300,NORMAL,1
15.9441,10.9314,-10.0386,0.300,NORMAL,1
16.1950,11.0955,-10.2284,0.300,NORMAL,1
16.4459,11.2595,-10.4182,0.300,NORMAL,1
16.9361,11.5157,-10.8363,0.300,NORMAL,1
17.4245,11.7109,-11.2840,0.300,NORMAL,1
17.9129,11.9061,-11.7317,0.300,NORMAL,1
18.4013,12.1013,-12.1794,0.300,NORMAL,1
18.8913,12.3252,-12.6152,0.300,NORMAL,1
19.3790,12.5140,-13.0649,0.300,NORMAL,1
19.8663,12.6736,-13.5253,0.300,NORMAL,1
20.3536,12.8332,-13.9857,0.300,NORMAL,1
20.8409,12.9928,-14.4461,0.300,NORMAL,1
21.3313,13.1939,-14.8934,0.300,NORMAL,1
21.8049,13.3421,-15.3432,0.300,NORMAL,1
22.2777,13.4469,-15.8042,0.300,NORMAL,1
22.7504,13.5516,-16.2652,0.300,NORMAL,1
23.2231,13.6564,-16.7262,0.300,NORMAL,1
23.7064,13.8394,-17.1734,0.300,NORMAL,1
24.2046,13.9297,-17.6634,0.300,NORMAL,1
24.7007,13.9445,-18.1593,0.300,NORMAL,1
25.1968,13.9592,-18.6551,0.300,NORMAL,1
25.6929,13.9740,-19.1510,0.300,NORMAL,1
26.1921,14.0327,-19.6468,0.300,NORMAL,1
26.6559,14.0410,-20.1105,0.300,NORMAL,1
27.1187,14.0023,-20.5716,0.300,NORMAL,1
27.5815,13.9636,-21.0328,0.300,NORMAL,1
28.0442,13.9249,-21.4940,0.300,NORMAL,1
28.5070,13.8862,-21.9551,0.300,NORMAL,1
28.9698,13.8475,-22.4163,0.300,NORMAL,1
29.4326,13.8088,-22.8774,0.300,NORMAL,1
29.8955,13.7784,-23.3393,0.300,NORMAL,1
30.3546,13.7388,-23.7968,0.300,NORMAL,1
30.8137,13.6909,-24.2533,0.300,NORMAL,1
31.2728,13.6429,-24.7099,0.300,NORMAL,1
31.7318,13.5950,-25.1665,0.300,NORMAL,1
32.1909,13.5471,-25.6230,0.300,NORMAL,1
32.6500,13.4991,-26.0796,0.300,NORMAL,1
33.1091,13.4512,-26.5362,0.300,NORMAL,1
33.5681,13.4033,-26.9927,0.300,NORMAL,1
34.0274,13.3650,-27.4504,0.300,NORMAL,1
34.5200,13.3111,-27.9401,0.300,NORMAL,1
35.0127,13.2482,-28.4287,0.300,NORMAL,1
35.5053,13.1853,-28.9173,0.300,NORMAL,1
35.9979,13.1224,-29.4059,0.300,NORMAL,1
36.4906,13.0594,-29.8945,0.300,NORMAL,1
36.9832,12.9965,-30.3830,0.300,NORMAL,1
37.4758,12.9336,-30.8716,0.300,NORMAL,1
37.9685,12.8707,-31.3602,0.300,NORMAL,1
38.4611,12.8078,-31.8488,0.300,NORMAL,1
38.9537,12.7449,-32.3374,0.300,NORMAL,1
39.4464,12.6819,-32.8260,0.300,NORMAL,1
39.9390,12.6190,-33.3146,0.300,NORMAL,1
40.4316,12.5561,-33.8032,0.300,NORMAL,1
40.9242,12.4932,-34.2918,0.300,NORMAL,1
41.4169,12.4303,-34.7804,0.300,NORMAL,1
41.9095,12.3674,-35.2690,0.300,NORMAL,1
42.4021,12.3044,-35.7576,0.300,NORMAL,1
42.8948,12.2415,-36.2462,0.300,NORMAL,1
43.3874,12.1786,-36.7348,0.300,NORMAL,1
43.8800,12.1157,-37.2234,0.300,NORMAL,1
44.3727,12.0528,-37.7120,0.300,NORMAL,1
44.8653,11.9898,-38.2006,0.300,NORMAL,1
45.3579,11.9269,-38.6892,0.300,NORMAL,1
45.8506,11.8640,-39.1778,0.300,NORMAL,1
46.3432,11.8011,-39.6664,0.300,NORMAL,1
