s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,0.1072,0.7948,0.300,NORMAL,1
0.4657,0.0449,0.3333,0.300,NORMAL,1
0.9314,-0.0173,-0.1282,0.300,NORMAL,1
1.3971,-0.0795,-0.5897,0.300,NORMAL,1
1.8628,-0.1417,-1.0512,0.300,NORMAL,1
2.3285,-0.2040,-1.5128,0.300,NORMAL,1
2.7941,-0.2662,-1.9743,0.300,NORMAL,1
3.2601,-0.3157,-2.4376,0.300,NORMAL,1
3.7014,-0.3756,-2.8748,0.300,NORMAL,1
4.1426,-0.4490,-3.3098,0.300,NORMAL,1
4.5837,-0.5224,-3.7449,0.300,NORMAL,1
5.0249,-0.5957,-4.1799,0.300,NORMAL,1
5.4661,-0.6691,-4.6149,0.300,NORMAL,1
5.9073,-0.7425,-5.0499,0.300,NORMAL,1
6.1934,-0.6418,-5.3177,0.300,NORMAL,1
6.4795,-0.5410,-5.5855,0.300,NORMAL,1
6.9721,-0.6811,-6.0578,0.300,NORMAL,1
7.4285,-1.0353,-6.3457,0.300,NORMAL,1
7.6863,-1.1613,-6.5706,0.300,NORMAL,1
7.9441,-1.2873,-6.7955,0.300,NORMAL,1
8.3982,-1.6495,-7.0695,0.300,NORMAL,1
8.8322,-2.0795,-7.1281,0.300,NORMAL,1
9.1671,-2.4098,-7.1837,0.300,NORMAL,1
9.5025,-2.7393,-7.2460,0.300,NORMAL,1
9.9585,-3.1784,-7.3689,0.300,NORMAL,1
10.4143,-3.6122,-7.5090,0.300,NORMAL,1
10.8702,-4.0460,-7.6491,0.300,NORMAL,1
11.3260,-4.4798,-7.7891,0.300,NORMAL,1
11.7962,-4.9469,-7.8434,0.300,NORMAL,1
12.2780,-5.3988,-8.0103,0.300,NORMAL,1
12.7565,-5.8101,-8.2549,0.300,NORMAL,1
13.2549,-6.2841,-8.4088,0.300,NORMAL,1
13.7019,-6.6645,-8.6435,0.300,NORMAL,1
14.1415,-6.9632,-8.9661,0.300,NORMAL,1
14.3920,-7.1907,-9.0708,0.300,NORMAL,1
14.6425,-7.4183,-9.1754,0.300,NORMAL,1
15.0924,-7.7115,-9.5166,0.300,NORMAL,1
15.3576,-7.8915,-9.7115,0.300,NORMAL,1
15.6229,-8.0715,-9.9063,0.300,NORMAL,1
16.1176,-8.1361,-10.3968,0.300,NORMAL,1
16.5903,-7.9772,-10.8420,0.300,NORMAL,1
17.0630,-7.8183,-11.2871,0.300,NORMAL,1
17.3327,-7.8308,-11.5566,0.300,NORMAL,1
17.6025,-7.8433,-11.8261,0.300,NORMAL,1
18.0731,-7.6616,-12.2601,0.300,NORMAL,1
18.5229,-7.2945,-12.5202,0.300,NORMAL,1
18.9811,-6.9467,-12.8184,0.300,NORMAL,1
19.4387,-6.6233,-13.1422,0.300,NORMAL,1
19.8966,-6.3095,-13.4756,0.300,NORMAL,1
20.3862,-5.9612,-13.8197,0.300,NORMAL,1
20.8757,-5.6042,-14.1546,0.300,NORMAL,1
21.3676,-5.2200,-14.4619,0.300,NORMAL,1
