variant_id,s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
p1_t1_f2,371.8944,-28.7295,-62.7364,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,371.9944,-28.8288,-62.7484,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.0944,-28.9282,-62.7595,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.1943,-29.0276,-62.7696,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.2944,-29.1272,-62.7791,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.3944,-29.2268,-62.7877,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.4944,-29.3265,-62.7957,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.5943,-29.4262,-62.8029,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.6943,-29.5260,-62.8093,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.7943,-29.6258,-62.8149,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.8943,-29.7257,-62.8194,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,372.9943,-29.8256,-62.8229,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.0943,-29.9256,-62.8252,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.1943,-30.0256,-62.8262,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.2943,-30.1256,-62.8258,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.3942,-30.2255,-62.8240,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.4943,-30.3255,-62.8205,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.5942,-30.4253,-62.8153,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.6943,-30.5251,-62.8082,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.7942,-30.6246,-62.7992,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.8942,-30.7240,-62.7883,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,373.9942,-30.8232,-62.7754,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.0942,-30.9221,-62.7609,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.1942,-31.0208,-62.7448,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.2941,-31.1192,-62.7273,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.3942,-31.2175,-62.7086,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.4941,-31.3155,-62.6889,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.5941,-31.4133,-62.6682,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.6941,-31.5109,-62.6466,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.7941,-31.6084,-62.6243,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.8941,-31.7057,-62.6013,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,374.9940,-31.8028,-62.5775,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.0940,-31.8998,-62.5532,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.1940,-31.9966,-62.5281,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.2940,-32.0932,-62.5024,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.3940,-32.1897,-62.4760,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.4940,-32.2859,-62.4489,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.5940,-32.3820,-62.4211,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.6939,-32.4778,-62.3927,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.7939,-32.5735,-62.3637,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,375.8940,-32.6691,-62.3341,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
