s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,0.0000,0.0000,0.300,NORMAL,1
0.4889,-0.4608,0.1636,0.300,NORMAL,1
0.9779,-0.9215,0.3272,0.300,NORMAL,1
1.4668,-1.3823,0.4908,0.300,NORMAL,1
1.9653,-1.8520,0.6576,0.300,NORMAL,1
2.4637,-2.3216,0.8245,0.300,NORMAL,1
2.9621,-2.7913,0.9913,0.300,NORMAL,1
3.3682,-3.1604,1.1605,0.300,NORMAL,1
3.7742,-3.5295,1.3298,0.300,NORMAL,1
4.0766,-3.8149,1.4295,0.300,NORMAL,1
4.3789,-4.1004,1.5291,0.300,NORMAL,1
4.7189,-4.4204,1.6439,0.300,NORMAL,1
5.0588,-4.7404,1.7587,0.300,NORMAL,1
5.4069,-5.0787,1.8405,0.300,NORMAL,1
5.7551,-5.4171,1.9224,0.300,NORMAL,1
6.0699,-5.7138,2.0275,0.300,NORMAL,1
6.3847,-6.0106,2.1327,0.300,NORMAL,1
6.6902,-6.3031,2.2207,0.300,NORMAL,1
6.9956,-6.5956,2.3087,0.300,NORMAL,1
7.3686,-6.9509,2.4223,0.300,NORMAL,1
7.7417,-7.3062,2.5360,0.300,NORMAL,1
8.0344,-7.5838,2.6287,0.300,NORMAL,1
8.3271,-7.8615,2.7214,0.300,NORMAL,1
8.6645,-8.1677,2.8630,0.300,NORMAL,1
9.0019,-8.4740,3.0046,0.300,NORMAL,1
9.3115,-8.7717,3.0896,0.300,NORMAL,1
9.6210,-9.0693,3.1747,0.300,NORMAL,1
9.9182,-9.3531,3.2629,0.300,NORMAL,1
10.2154,-9.6369,3.3510,0.300,NORMAL,1
10.4889,-9.8906,3.4531,0.300,NORMAL,1
10.7623,-10.1443,3.5552,0.300,NORMAL,1
11.0717,-10.4349,3.6615,0.300,NORMAL,1
11.3811,-10.7254,3.7677,0.300,NORMAL,1
11.7039,-11.0216,3.8962,0.300,NORMAL,1
12.0267,-11.3177,4.0246,0.300,NORMAL,1
12.3554,-11.6320,4.1207,0.300,NORMAL,1
12.6841,-11.9464,4.2168,0.300,NORMAL,1
13.0182,-12.2535,4.3485,0.300,NORMAL,1
13.3523,-12.5605,4.4802,0.300,NORMAL,1
13.6842,-12.8736,4.5902,0.300,NORMAL,1
14.0161,-13.1868,4.7002,0.300,NORMAL,1
14.1765,-13.0418,4.6317,0.300,NORMAL,1
14.4699,-13.3213,4.7210,0.300,NORMAL,1
14.7634,-13.6009,4.8102,0.300,NORMAL,1
15.0805,-13.9083,4.8881,0.300,NORMAL,1
15.3977,-14.2157,4.9661,0.300,NORMAL,1
15.7169,-14.5063,5.0983,0.300,NORMAL,1
16.0362,-14.7969,5.2305,0.300,NORMAL,1
16.3148,-15.0615,5.3178,0.300,NORMAL,1
16.5934,-15.3261,5.4051,0.300,NORMAL,1
16.9069,-15.6286,5.4873,0.300,NORMAL,1
17.2203,-15.9310,5.5695,0.300,NORMAL,1
17.5753,-16.2559,5.7126,0.300,NORMAL,1
17.9303,-16.5808,5.8556,0.300,NORMAL,1
18.2392,-16.8742,5.9524,0.300,NORMAL,1
18.5482,-17.1676,6.0491,0.300,NORMAL,1
18.9138,-17.5083,6.1819,0.300,NORMAL,1
19.2794,-17.8490,6.3146,0.300,NORMAL,1
19.6772,-18.2299,6.4291,0.300,NORMAL,1
20.0749,-18.6108,6.5435,0.300,NORMAL,1
20.4372,-18.9586,6.6452,0.300,NORMAL,1
20.7995,-19.3063,6.7468,0.300,NORMAL,1
21.2486,-19.7253,6.9083,0.300,NORMAL,1
21.6977,-20.1444,7.0697,0.300,NORMAL,1
22.0475,-20.4735,7.1883,0.300,HILL,1
22.3973,-20.8026,7.3069,0.300,HILL,1
22.7753,-21.1685,7.4020,0.300,HILL,1
23.1534,-21.5344,7.4971,0.300,HILL,1
23.5374,-21.8888,7.6450,0.300,HILL,1
23.9214,-22.2431,7.7930,0.300,HILL,1
24.3774,-22.6722,7.9473,0.300,HILL,1
24.8334,-23.1013,8.1016,0.300,HILL,1
25.1596,-23.4055,8.2195,0.300,HILL,1
25.4859,-23.7097,8.3373,0.300,HILL,1
25.8113,-24.0286,8.4018,0.300,HILL,1
26.1367,-24.3476,8.4663,0.300,HILL,1
26.4912,-24.6853,8.5741,0.300,HILL,1
26.8458,-25.0231,8.6820,0.300,HILL,1
27.1608,-25.3098,8.8125,0.300,HILL,1
27.4758,-25.5965,8.9431,0.300,HILL,1
27.8347,-25.9451,9.0286,0.300,HILL,1
28.1937,-26.2937,9.1141,0.300,HILL,1
28.5575,-26.6364,9.2364,0.300,HILL,1
28.9214,-26.9791,9.3587,0.300,HILL,1
29.2853,-27.3218,9.4810,0.300,HILL,1
29.3296,-27.3492,9.4462,0.300,HILL,1
29.6344,-27.6488,9.5023,0.300,HILL,1
29.9392,-27.9484,9.5585,0.300,HILL,1
30.3204,-28.2914,9.7250,0.300,HILL,1
30.7017,-28.6343,9.8915,0.300,HILL,1
31.0803,-28.9851,10.0340,0.300,HILL,1
31.4590,-29.3360,10.1764,0.300,HILL,1
31.8257,-29.6810,10.3006,0.300,HILL,1
32.1924,-30.0260,10.4249,0.300,HILL,1
32.4802,-30.3014,10.5084,0.300,HILL,1
32.7680,-30.5768,10.5920,0.300,HILL,1
33.0202,-30.8196,10.6601,0.300,HILL,1
33.2724,-31.0625,10.7281,0.300,HILL,1
