s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,-0.7585,0.2605,0.300,NORMAL,1
0.2861,-0.4880,0.1676,0.300,NORMAL,1
0.5721,-0.2174,0.0747,0.300,NORMAL,1
0.8582,0.0531,-0.0182,0.300,NORMAL,1
1.1442,0.3237,-0.1111,0.300,NORMAL,1
1.4303,0.5943,-0.2040,0.300,NORMAL,1
1.7164,0.8648,-0.2969,0.300,NORMAL,1
2.0024,1.1354,-0.3898,0.300,NORMAL,1
2.2885,1.4059,-0.4827,0.300,NORMAL,1
2.5746,1.6765,-0.5756,0.300,NORMAL,1
2.8606,1.9470,-0.6685,0.300,NORMAL,1
3.1467,2.2176,-0.7614,0.300,NORMAL,1
3.4327,2.4881,-0.8543,0.300,NORMAL,1
3.7188,2.7587,-0.9472,0.300,NORMAL,1
4.0049,3.0293,-1.0401,0.300,NORMAL,1
4.2909,3.2998,-1.1330,0.300,NORMAL,1
4.5851,3.5533,-1.2824,0.300,NORMAL,1
4.8808,3.8276,-1.3926,0.300,NORMAL,1
5.1728,4.1147,-1.4463,0.300,NORMAL,1
5.4648,4.4017,-1.5000,0.300,NORMAL,1
5.7568,4.6887,-1.5537,0.300,NORMAL,1
6.0488,4.9758,-1.6075,0.300,NORMAL,1
6.3408,5.2628,-1.6612,0.300,NORMAL,1
6.6329,5.5498,-1.7149,0.300,NORMAL,1
6.9249,5.8369,-1.7686,0.300,NORMAL,1
7.2169,6.1239,-1.8223,0.300,NORMAL,1
7.5089,6.4109,-1.8760,0.300,NORMAL,1
7.8009,6.6980,-1.9298,0.300,NORMAL,1
7.9612,6.8558,-1.9019,0.300,NORMAL,1
8.1214,7.0136,-1.8741,0.300,NORMAL,1
8.2748,7.1663,-1.8881,0.300,NORMAL,1
8.4282,7.3190,-1.9022,0.300,NORMAL,1
8.7215,7.5810,-2.0341,0.300,NORMAL,1
9.0148,7.8430,-2.1661,0.300,NORMAL,1
9.3082,8.1049,-2.2981,0.300,NORMAL,1
9.6015,8.3669,-2.4300,0.300,NORMAL,1
9.8948,8.6289,-2.5620,0.300,NORMAL,1
10.1882,8.8908,-2.6939,0.300,NORMAL,1
10.4815,9.1528,-2.8259,0.300,NORMAL,1
10.7748,9.4148,-2.9579,0.300,NORMAL,1
11.0681,9.6768,-3.0898,0.300,NORMAL,1
11.3615,9.9387,-3.2218,0.300,NORMAL,1
11.6548,10.2007,-3.3538,0.300,NORMAL,1
11.9481,10.4627,-3.4857,0.300,NORMAL,1
12.2106,10.7138,-3.4094,0.300,NORMAL,1
12.4731,10.9649,-3.3330,0.300,NORMAL,1
12.6810,11.1588,-3.4081,0.300,NORMAL,1
12.8890,11.3527,-3.4832,0.300,NORMAL,1
13.1879,11.4051,-3.7775,0.300,NORMAL,1
13.4868,11.4575,-4.0718,0.300,NORMAL,1
13.7857,11.5099,-4.3661,0.300,NORMAL,1
14.0846,11.5623,-4.6604,0.300,NORMAL,1
14.3836,11.6147,-4.9547,0.300,NORMAL,1
14.6825,11.6670,-5.2490,0.300,NORMAL,1
14.9814,11.7194,-5.5433,0.300,NORMAL,1
15.2803,11.7718,-5.8375,0.300,NORMAL,1
15.5792,11.8242,-6.1318,0.300,NORMAL,1
15.8781,11.8766,-6.4261,0.300,NORMAL,1
16.1771,11.9290,-6.7204,0.300,NORMAL,1
