s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,-0.0000,0.0000,0.000,NORMAL,1,ROUTE,ROUTE_START,START,,,PREVIEW_DEFAULT
0.2934,-0.2765,0.0982,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.5867,-0.5529,0.1963,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
0.8801,-0.8294,0.2945,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.1735,-1.1058,0.3926,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.4668,-1.3823,0.4908,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
1.7659,-1.6641,0.5909,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.0649,-1.9459,0.6910,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.3640,-2.2277,0.7911,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.6630,-2.5095,0.8912,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
2.9621,-2.7913,0.9913,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.2328,-3.0374,1.1041,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.5035,-3.2834,1.2170,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.7742,-3.5295,1.3298,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
3.9758,-3.7198,1.3962,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
4.1773,-3.9101,1.4627,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
4.3789,-4.1004,1.5291,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
4.6055,-4.3137,1.6056,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
4.8322,-4.5271,1.6822,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
5.0588,-4.7404,1.7587,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
5.2909,-4.9660,1.8133,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
5.5230,-5.1915,1.8678,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
5.7551,-5.4171,1.9224,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
5.9649,-5.6149,1.9925,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
6.1748,-5.8128,2.0626,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
6.3847,-6.0106,2.1327,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
6.5883,-6.2056,2.1914,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
6.7920,-6.4006,2.2500,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
6.9956,-6.5956,2.3087,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
7.2443,-6.8325,2.3845,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
7.4930,-7.0693,2.4602,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
7.7417,-7.3062,2.5360,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
8.0344,-7.5838,2.6287,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
8.3271,-7.8615,2.7214,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
8.5520,-8.0657,2.8158,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
8.7770,-8.2698,2.9102,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
9.0019,-8.4740,3.0046,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
9.2083,-8.6724,3.0613,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
9.4147,-8.8709,3.1180,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
9.6210,-9.0693,3.1747,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
9.9182,-9.3531,3.2629,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
10.2154,-9.6369,3.3510,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
10.4889,-9.8906,3.4531,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
10.7623,-10.1443,3.5552,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
10.9686,-10.3380,3.6260,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
11.1748,-10.5317,3.6969,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
11.3811,-10.7254,3.7677,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
11.5963,-10.9228,3.8533,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
11.8115,-11.1203,3.9390,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
12.0267,-11.3177,4.0246,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
12.2458,-11.5273,4.0887,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
12.4650,-11.7368,4.1527,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
