segment_id,point_index,branch_group,branch_option,selection_policy,next_segments,camera_task,camera_group,camera_start_index,camera_end_index,lidar_task,lidar_start_index,lidar_end_index,x,y,yaw_deg,gear,origin_latitude_deg,origin_longitude_deg,origin_altitude_m,position_reference,up_m,mission,speed_profile,stop_here,traffic_exit,camera_segment_id,source_segment_id,source_point_index,entry_point
to_forward3,25,,,,P_entry,off,,0,73,parking,0,73,-20.63552392,-61.65827592,64.862488,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,1,
to_forward3,26,,,,P_entry,off,,0,73,parking,0,73,-20.54689557,-61.47969094,63.444800,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,2,
to_forward3,27,,,,P_entry,off,,0,73,parking,0,73,-20.45726578,-61.30160633,62.896503,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,3,
to_forward3,28,,,,P_entry,off,,0,73,parking,0,73,-20.36523586,-61.12475016,62.223443,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,4,
to_forward3,29,,,,P_entry,off,,0,73,parking,0,73,-20.27144724,-60.94882031,61.754519,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,5,
to_forward3,30,,,,P_entry,off,,0,73,parking,0,73,-20.17653489,-60.77349414,61.490707,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,6,
to_forward3,31,,,,P_entry,off,,0,73,parking,0,73,-20.08113016,-60.59843539,61.431881,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,7,
to_forward3,32,,,,P_entry,off,,0,73,parking,0,73,-19.98585799,-60.42330446,61.576848,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,8,
to_forward3,33,,,,P_entry,off,,0,73,parking,0,73,-19.89134032,-60.24776519,61.927178,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,9,
to_forward3,34,,,,P_entry,off,,0,73,parking,0,73,-19.79821689,-60.07148236,62.459203,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,10,
to_forward3,35,,,,P_entry,off,,0,73,parking,0,73,-19.70697534,-59.89421822,62.306521,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,11,
