s_m,x_m,y_m,target_speed_mps,mission,direction
27.0558,-25.2142,8.7690,0.000,NORMAL,1
27.2658,-25.4054,8.8561,0.000,NORMAL,1
27.4758,-25.5965,8.9431,0.000,NORMAL,1
27.7151,-25.8289,9.0001,0.000,NORMAL,1
27.9544,-26.0613,9.0571,0.000,NORMAL,1
28.1937,-26.2937,9.1141,0.000,NORMAL,1
28.4666,-26.5507,9.2058,0.000,NORMAL,1
28.7395,-26.8077,9.2976,0.000,NORMAL,1
29.0124,-27.0648,9.3893,0.000,NORMAL,1
29.2853,-27.3218,9.4810,0.000,NORMAL,1
29.3296,-27.3492,9.4462,0.000,NORMAL,1
29.5328,-27.5489,9.4836,0.000,NORMAL,1
29.7360,-27.7487,9.5211,0.000,NORMAL,1
29.9392,-27.9484,9.5585,0.000,NORMAL,1
30.1934,-28.1770,9.6695,0.000,NORMAL,1
30.4475,-28.4057,9.7805,0.000,NORMAL,1
30.7017,-28.6343,9.8915,0.000,NORMAL,1
30.9541,-28.8682,9.9865,0.000,NORMAL,1
31.2066,-29.1021,10.0814,0.000,NORMAL,1
31.4590,-29.3360,10.1764,0.000,NORMAL,1
31.7035,-29.5660,10.2592,0.000,NORMAL,1
31.9479,-29.7960,10.3421,0.000,NORMAL,1
32.1924,-30.0260,10.4249,0.000,NORMAL,1
32.4802,-30.3014,10.5084,0.000,NORMAL,1
32.7680,-30.5768,10.5920,0.000,NORMAL,1
33.0202,-30.8196,10.6601,0.000,NORMAL,1
33.2724,-31.0625,10.7281,0.000,NORMAL,1
33.5598,-31.3443,10.7847,0.000,NORMAL,1
33.8473,-31.6261,10.8414,0.000,NORMAL,1
34.0799,-31.8455,10.9188,0.000,NORMAL,1
34.3125,-32.0648,10.9963,0.000,NORMAL,1
34.5452,-32.2842,11.0737,0.000,NORMAL,1
34.7813,-32.5038,11.1607,0.000,NORMAL,1
35.0175,-32.7233,11.2478,0.000,NORMAL,1
35.2537,-32.9429,11.3348,0.000,NORMAL,1
35.4934,-33.1719,11.4056,0.000,NORMAL,1
35.7332,-33.4010,11.4764,0.000,NORMAL,1
35.9729,-33.6300,11.5472,0.000,NORMAL,1
36.2275,-33.8685,11.6363,0.000,NORMAL,1
36.4821,-34.1069,11.7255,0.000,NORMAL,1
36.7366,-34.3454,11.8146,0.000,NORMAL,1
36.9926,-34.5852,11.9041,0.000,NORMAL,1
37.2486,-34.8251,11.9936,0.000,NORMAL,1
37.5046,-35.0649,12.0831,0.000,NORMAL,1
37.7960,-35.3377,12.1855,0.000,NORMAL,1
38.0873,-35.6104,12.2880,0.000,NORMAL,1
38.3787,-35.8832,12.3904,0.000,NORMAL,1
38.5849,-36.0870,12.4220,0.000,NORMAL,1
38.7911,-36.2907,12.4535,0.000,NORMAL,1
38.9973,-36.4945,12.4851,0.000,NORMAL,1
39.2747,-36.7188,12.6484,0.000,NORMAL,1
39.5500,-36.5825,12.4093,0.000,NORMAL,1
39.8320,-36.8518,12.4930,0.000,NORMAL,1
40.1140,-37.1211,12.5766,0.000,NORMAL,1
40.3975,-37.3860,12.6777,0.000,NORMAL,1
40.6810,-37.6509,12.7788,0.000,NORMAL,1
40.8944,-37.8536,12.8455,0.000,NORMAL,1
41.1078,-38.0563,12.9121,0.000,NORMAL,1
41.3212,-38.2590,12.9788,0.000,NORMAL,1
41.5881,-38.5173,13.0460,0.000,NORMAL,1
41.8549,-38.7756,13.1131,0.000,NORMAL,1
42.1218,-39.0339,13.1803,0.000,NORMAL,1
42.3498,-39.2441,13.2684,0.000,NORMAL,1
42.5777,-39.4543,13.3566,0.000,NORMAL,1
42.8056,-39.6645,13.4447,0.000,NORMAL,1
43.0507,-39.8799,13.5616,0.000,NORMAL,1
43.2958,-40.0953,13.6784,0.000,NORMAL,1
43.5409,-40.3108,13.7953,0.000,NORMAL,1
43.7860,-40.5262,13.9122,0.000,NORMAL,1
44.0331,-40.7732,13.9032,0.000,NORMAL,1
44.2601,-40.9862,13.9818,0.000,NORMAL,1
44.4872,-41.1991,14.0604,0.000,NORMAL,1
44.7142,-41.4121,14.1390,0.000,NORMAL,1
44.9168,-41.6024,14.2084,0.000,NORMAL,1
45.1193,-41.7928,14.2778,0.000,NORMAL,1
45.3219,-41.9831,14.3472,0.000,NORMAL,1
45.6100,-42.2602,14.4261,0.000,NORMAL,1
45.8981,-42.5373,14.5049,0.000,NORMAL,1
46.1315,-42.7542,14.5910,0.000,NORMAL,1
46.3648,-42.9710,14.6771,0.000,NORMAL,1
46.5981,-43.1879,14.7632,0.000,NORMAL,1
46.8875,-43.4634,14.8515,0.000,NORMAL,1
47.1768,-43.7390,14.9398,0.000,NORMAL,1
47.4200,-43.9703,15.0147,0.000,NORMAL,1
47.6632,-44.2017,15.0896,0.000,NORMAL,1
47.9063,-44.4330,15.1645,0.000,NORMAL,1
48.1761,-44.6868,15.2558,0.000,NORMAL,1
48.4458,-44.9407,15.3470,0.000,NORMAL,1
48.7155,-45.1945,15.4383,0.000,NORMAL,1
48.9243,-45.3925,15.5042,0.000,NORMAL,1
49.1330,-45.5906,15.5702,0.000,NORMAL,1
49.3417,-45.7886,15.6361,0.000,NORMAL,1
49.5642,-45.9972,15.7137,0.000,NORMAL,1
49.7867,-46.2057,15.7912,0.000,NORMAL,1
50.0093,-46.4143,15.8688,0.000,NORMAL,1
50.2529,-46.6436,15.9512,0.000,NORMAL,1
50.4966,-46.8730,16.0335,0.000,NORMAL,1
50.7403,-47.1023,16.1159,0.000,NORMAL,1
