s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
253.4556,-55.5956,-19.8164,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
253.5555,-55.5009,-19.8483,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
253.6555,-55.4063,-19.8807,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
253.7555,-55.3118,-19.9134,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
253.8555,-55.2175,-19.9466,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
253.9555,-55.1233,-19.9801,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.0554,-55.0293,-20.0141,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.1554,-54.9354,-20.0484,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.2555,-54.8416,-20.0832,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.3554,-54.7480,-20.1182,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.4554,-54.6544,-20.1535,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.5554,-54.5609,-20.1890,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.6554,-54.4675,-20.2247,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.7553,-54.3742,-20.2604,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.8553,-54.2808,-20.2961,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
254.9553,-54.1874,-20.3319,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.0553,-54.0940,-20.3675,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.1553,-54.0005,-20.4031,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.2552,-53.9071,-20.4385,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.3553,-53.8135,-20.4739,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.4552,-53.7200,-20.5091,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.5552,-53.6264,-20.5443,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.6553,-53.5327,-20.5794,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.7552,-53.4391,-20.6144,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.8551,-53.3455,-20.6494,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
255.9552,-53.2518,-20.6845,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.0551,-53.1582,-20.7196,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.1551,-53.0646,-20.7547,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.2551,-52.9710,-20.7899,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.3551,-52.8775,-20.8253,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.4551,-52.7840,-20.8608,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.5550,-52.6906,-20.8964,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.6551,-52.5972,-20.9322,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.7550,-52.5040,-20.9682,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.8550,-52.4108,-21.0044,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
256.9550,-52.3176,-21.0407,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.0550,-52.2245,-21.0772,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.1549,-52.1315,-21.1138,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.2549,-52.0385,-21.1506,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.3549,-51.9456,-21.1874,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.4549,-51.8527,-21.2244,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.5549,-51.7598,-21.2614,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.6549,-51.6669,-21.2985,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.7548,-51.5741,-21.3356,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.8549,-51.4813,-21.3729,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
257.9548,-51.3885,-21.4101,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.0548,-51.2958,-21.4475,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.1548,-51.2030,-21.4848,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.2548,-51.1103,-21.5222,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.3548,-51.0176,-21.5597,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.4547,-50.9249,-21.5971,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.5547,-50.8322,-21.6346,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.6547,-50.7395,-21.6720,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.7547,-50.6467,-21.7093,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.8546,-50.5540,-21.7466,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
258.9547,-50.4611,-21.7838,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.0546,-50.3683,-21.8208,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.1547,-50.2753,-21.8577,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
259.2546,-50.1824,-21.8945,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
