s_m,x_m,y_m,target_speed_mps,mission,direction
0.0000,0.7651,-0.0983,0.200,NORMAL,1
0.4686,0.3003,-0.0388,0.200,NORMAL,1
0.9372,-0.1646,0.0207,0.200,NORMAL,1
1.2964,-0.5237,0.0136,0.200,NORMAL,1
1.6556,-0.8828,0.0065,0.200,NORMAL,1
2.0404,-1.2607,0.0786,0.200,NORMAL,1
2.4251,-1.6387,0.1507,0.200,NORMAL,1
2.7769,-1.9903,0.1550,0.200,NORMAL,1
3.1286,-2.3421,0.1594,0.200,NORMAL,1
3.5851,-2.7983,0.1750,0.200,NORMAL,1
4.0415,-3.2545,0.1906,0.200,NORMAL,1
4.4868,-3.6993,0.1721,0.200,NORMAL,1
4.9320,-4.1442,0.1536,0.200,NORMAL,1
5.3128,-4.5183,0.0830,0.200,NORMAL,1
5.6936,-4.8925,0.0123,0.200,NORMAL,1
6.1539,-5.3342,-0.1175,0.200,NORMAL,1
6.6142,-5.7758,-0.2472,0.200,NORMAL,1
7.0760,-6.2081,-0.4097,0.200,NORMAL,1
7.5378,-6.6403,-0.5721,0.200,NORMAL,1
7.8992,-6.9745,-0.7099,0.200,NORMAL,1
8.2607,-7.3086,-0.8477,0.200,NORMAL,1
8.6788,-7.6661,-1.0646,0.200,NORMAL,1
9.0968,-8.0236,-1.2814,0.200,NORMAL,1
9.3954,-8.2616,-1.4615,0.200,NORMAL,1
9.6939,-8.4996,-1.6418,0.200,NORMAL,1
10.0481,-8.7635,-1.8780,0.200,NORMAL,1
10.4022,-9.0273,-2.1142,0.200,NORMAL,1
10.7911,-9.2531,-2.4309,0.200,NORMAL,1
11.1801,-9.4789,-2.7475,0.200,NORMAL,1
11.5690,-9.7046,-3.0643,0.200,NORMAL,1
11.9483,-9.9040,-3.3870,0.200,NORMAL,1
12.3276,-10.1033,-3.7096,0.200,NORMAL,1
12.6773,-10.2706,-4.0168,0.200,NORMAL,1
13.0271,-10.4381,-4.3239,0.200,NORMAL,1
13.3769,-10.6054,-4.6311,0.200,NORMAL,1
13.8651,-10.7393,-5.1006,0.200,NORMAL,1
14.3534,-10.8731,-5.5701,0.200,NORMAL,1
14.8169,-11.0003,-6.0158,0.200,NORMAL,1
15.2804,-11.1275,-6.4616,0.200,NORMAL,1
15.6947,-11.1806,-6.8725,0.200,NORMAL,1
16.1090,-11.2338,-7.2833,0.200,NORMAL,1
16.4533,-11.2215,-7.6274,0.200,NORMAL,1
16.7975,-11.2091,-7.9714,0.200,NORMAL,1
17.1742,-11.1893,-8.3476,0.200,NORMAL,1
17.5509,-11.1695,-8.7237,0.200,NORMAL,1
17.8887,-11.1437,-9.0605,0.200,NORMAL,1
18.2265,-11.1178,-9.3973,0.200,NORMAL,1
18.7164,-11.0431,-9.8815,0.000,FINISH,1
