s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
5.5990,-4.7251,0.6300,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.6991,-4.8249,0.6379,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.7990,-4.9245,0.6457,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.8990,-5.0242,0.6536,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.9989,-5.1238,0.6614,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.0989,-5.2235,0.6694,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.1989,-5.3232,0.6774,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.2989,-5.4228,0.6856,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.3988,-5.5224,0.6938,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.4989,-5.6221,0.7021,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.5989,-5.7218,0.7106,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.6989,-5.8214,0.7192,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.7988,-5.9209,0.7280,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.8988,-6.0205,0.7370,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
6.9988,-6.1200,0.7461,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.0988,-6.2196,0.7555,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.1988,-6.3191,0.7651,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.2988,-6.4186,0.7751,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.3987,-6.5181,0.7851,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.4988,-6.6176,0.7956,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.5987,-6.7169,0.8063,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.6987,-6.8164,0.8174,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.7987,-6.9157,0.8287,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.8987,-7.0150,0.8402,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
7.9986,-7.1142,0.8521,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
8.0986,-7.2135,0.8643,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
8.1986,-7.3127,0.8766,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
8.2986,-7.4119,0.8893,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
8.3986,-7.5111,0.9021,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
8.4986,-7.6102,0.9150,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
8.5985,-7.7093,0.9279,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
8.6985,-7.8085,0.9408,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
8.7985,-7.9076,0.9537,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
