s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,0.7619,0.0084,0.300,NORMAL,1,ROUTE,ROUTE_START,START,,0.000,PREVIEW_DEFAULT
0.1000,0.6622,0.0153,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.1999,0.5624,0.0222,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.2999,0.4627,0.0292,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.3999,0.3630,0.0361,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.4999,0.2632,0.0430,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.5999,0.1635,0.0501,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.6998,0.0638,0.0570,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.7999,-0.0360,0.0640,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.8999,-0.1358,0.0712,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
0.9998,-0.2355,0.0782,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.0998,-0.3352,0.0855,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.1998,-0.4349,0.0927,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.2997,-0.5346,0.1000,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.3998,-0.6344,0.1074,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.4997,-0.7340,0.1149,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.5998,-0.8338,0.1225,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.6997,-0.9334,0.1303,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.7997,-1.0331,0.1382,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.8997,-1.1328,0.1463,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
1.9997,-1.2324,0.1545,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.0997,-1.3321,0.1630,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.1997,-1.4316,0.1716,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.2996,-1.5312,0.1805,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.3996,-1.6308,0.1896,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.4995,-1.7303,0.1990,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.5996,-1.8298,0.2087,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.6995,-1.9293,0.2185,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.7995,-2.0288,0.2286,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.8995,-2.1282,0.2390,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
2.9995,-2.2277,0.2495,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.0995,-2.3271,0.2602,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.1994,-2.4265,0.2709,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.2994,-2.5259,0.2817,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.3994,-2.6253,0.2926,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.4994,-2.7247,0.3032,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.5994,-2.8241,0.3136,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.6993,-2.9235,0.3240,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.7993,-3.0231,0.3339,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.8993,-3.1226,0.3435,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
3.9993,-3.2221,0.3527,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.0993,-3.3217,0.3615,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.1992,-3.4213,0.3698,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.2992,-3.5210,0.3777,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.3992,-3.6208,0.3850,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.4992,-3.7205,0.3919,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.5992,-3.8203,0.3983,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.6992,-3.9201,0.4042,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.7992,-4.0200,0.4096,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.8992,-4.1198,0.4146,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
4.9992,-4.2197,0.4191,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.0991,-4.3195,0.4231,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.1992,-4.4195,0.4268,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.2991,-4.5194,0.4302,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.3991,-4.6194,0.4333,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.4990,-4.7192,0.4363,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
5.5990,-4.8192,0.4391,0.300,NORMAL,1,ROUTE,,,,0.000,PREVIEW_DEFAULT
