s_m,x_m,y_m,target_speed_mps,mission,direction
9.1825,4.9843,-6.7678,0.150,PERP_PARK,1
9.2824,5.0448,-6.8473,0.150,PERP_PARK,1
9.3824,5.1052,-6.9270,0.150,PERP_PARK,1
9.4823,5.1656,-7.0067,0.150,PERP_PARK,1
9.5824,5.2261,-7.0863,0.150,PERP_PARK,1
9.6823,5.2865,-7.1659,0.150,PERP_PARK,1
9.7823,5.3470,-7.2455,0.150,PERP_PARK,1
9.8823,5.4075,-7.3252,0.150,PERP_PARK,1
9.9823,5.4679,-7.4048,0.150,PERP_PARK,1
10.0822,5.5283,-7.4844,0.150,PERP_PARK,1
10.1823,5.5888,-7.5641,0.150,PERP_PARK,1
10.2822,5.6493,-7.6437,0.150,PERP_PARK,1
10.3822,5.7097,-7.7234,0.150,PERP_PARK,1
10.4822,5.7701,-7.8030,0.150,PERP_PARK,1
10.5822,5.8306,-7.8827,0.150,PERP_PARK,1
10.6822,5.8910,-7.9624,0.150,PERP_PARK,1
10.7822,5.9513,-8.0421,0.150,PERP_PARK,1
10.8822,6.0117,-8.1218,0.150,PERP_PARK,1
10.9821,6.0720,-8.2015,0.150,PERP_PARK,1
11.0821,6.1324,-8.2812,0.150,PERP_PARK,1
11.1821,6.1927,-8.3610,0.150,PERP_PARK,1
11.2820,6.2529,-8.4407,0.150,PERP_PARK,1
11.3820,6.3133,-8.5205,0.150,PERP_PARK,1
11.4820,6.3735,-8.6002,0.150,PERP_PARK,1
11.5821,6.4337,-8.6801,0.150,PERP_PARK,1
11.6820,6.4940,-8.7599,0.150,PERP_PARK,1
11.7820,6.5541,-8.8398,0.150,PERP_PARK,1
11.8820,6.6142,-8.9197,0.150,PERP_PARK,1
11.9819,6.6743,-8.9996,0.150,PERP_PARK,1
12.0820,6.7344,-9.0796,0.150,PERP_PARK,1
12.1819,6.7944,-9.1594,0.150,PERP_PARK,1
12.2819,6.8544,-9.2394,0.150,PERP_PARK,1
12.3819,6.9143,-9.3195,0.150,PERP_PARK,1
12.4819,6.9742,-9.3995,0.150,PERP_PARK,1
12.5819,7.0341,-9.4796,0.150,PERP_PARK,1
12.6818,7.0939,-9.5597,0.150,PERP_PARK,1
12.7819,7.1537,-9.6399,0.150,PERP_PARK,1
12.8818,7.2134,-9.7201,0.150,PERP_PARK,1
12.9817,7.2731,-9.8002,0.150,PERP_PARK,1
13.0818,7.3327,-9.8806,0.150,PERP_PARK,1
13.1817,7.3923,-9.9608,0.150,PERP_PARK,1
13.2817,7.4518,-10.0412,0.150,PERP_PARK,1
13.3817,7.5113,-10.1215,0.150,PERP_PARK,1
13.4817,7.5708,-10.2019,0.150,PERP_PARK,1
13.5817,7.6300,-10.2824,0.150,PERP_PARK,1
13.6817,7.6893,-10.3629,0.150,PERP_PARK,1
13.7816,7.7486,-10.4434,0.150,PERP_PARK,1
13.8816,7.8077,-10.5240,0.150,PERP_PARK,1
13.9816,7.8669,-10.6047,0.150,PERP_PARK,1
14.0816,7.9259,-10.6853,0.150,PERP_PARK,1
14.1816,7.9849,-10.7661,0.150,PERP_PARK,1
14.2815,8.0438,-10.8469,0.150,PERP_PARK,1
14.3816,8.1026,-10.9278,0.150,PERP_PARK,1
14.4816,8.1614,-11.0087,0.150,PERP_PARK,1
14.5815,8.2201,-11.0896,0.150,PERP_PARK,1
14.6815,8.2787,-11.1706,0.150,PERP_PARK,1
14.7815,8.3372,-11.2517,0.150,PERP_PARK,1
14.8815,8.3956,-11.3328,0.150,PERP_PARK,1
14.9815,8.4540,-11.4140,0.150,PERP_PARK,1
15.0814,8.5123,-11.4952,0.150,PERP_PARK,1
15.1814,8.5705,-11.5765,0.150,PERP_PARK,1
15.2814,8.6285,-11.6579,0.150,PERP_PARK,1
15.3814,8.6865,-11.7394,0.150,PERP_PARK,1
15.4814,8.7445,-11.8208,0.150,PERP_PARK,1
15.5813,8.8023,-11.9024,0.150,PERP_PARK,1
15.6813,8.8599,-11.9841,0.150,PERP_PARK,1
15.7813,8.9176,-12.0658,0.150,PERP_PARK,1
15.8813,8.9751,-12.1475,0.150,PERP_PARK,1
15.9813,9.0325,-12.2294,0.150,PERP_PARK,1
16.0813,9.0899,-12.3113,0.150,PERP_PARK,1
16.1812,9.1470,-12.3933,0.150,PERP_PARK,1
16.2812,9.2040,-12.4755,0.150,PERP_PARK,1
16.3812,9.2610,-12.5576,0.150,PERP_PARK,1
16.4812,9.3179,-12.6399,0.150,PERP_PARK,1
16.5812,9.3747,-12.7222,0.150,PERP_PARK,1
16.6811,9.4313,-12.8046,0.150,PERP_PARK,1
16.7812,9.4878,-12.8871,0.150,PERP_PARK,1
16.8811,9.5441,-12.9697,0.150,PERP_PARK,1
16.9811,9.6004,-13.0523,0.150,PERP_PARK,1
17.0811,9.6565,-13.1350,0.150,PERP_PARK,1
17.1811,9.7126,-13.2178,0.150,PERP_PARK,1
17.2810,9.7685,-13.3007,0.150,PERP_PARK,1
17.3810,9.8243,-13.3836,0.150,PERP_PARK,1
17.4810,9.8801,-13.4666,0.150,PERP_PARK,1
17.5810,9.9358,-13.5497,0.150,PERP_PARK,1
17.6810,9.9913,-13.6328,0.150,PERP_PARK,1
