s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
5.0991,2550.6871,-28022.6072,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.1990,2550.6381,-28022.6943,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.2990,2550.5892,-28022.7815,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.3991,2550.5402,-28022.8688,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.4990,2550.4914,-28022.9560,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.5990,2550.4425,-28023.0432,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.6989,2550.3938,-28023.1305,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.7989,2550.3450,-28023.2178,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.8989,2550.2962,-28023.3051,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
5.9989,2550.2475,-28023.3924,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.0989,2550.1987,-28023.4797,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.1988,2550.1500,-28023.5669,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.2988,2550.1010,-28023.6541,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.3988,2550.0521,-28023.7413,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.4988,2550.0031,-28023.8284,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.5988,2549.9539,-28023.9154,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.6988,2549.9046,-28024.0025,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.7988,2549.8552,-28024.0895,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.8988,2549.8057,-28024.1763,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
6.9987,2549.7562,-28024.2631,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.0987,2549.7064,-28024.3498,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.1987,2549.6565,-28024.4365,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.2987,2549.6067,-28024.5231,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.3987,2549.5566,-28024.6097,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.4987,2549.5064,-28024.6962,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.5986,2549.4561,-28024.7826,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.6986,2549.4058,-28024.8690,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.7986,2549.3554,-28024.9553,0.300,HILL,1,HILL,,,,0.000,PREVIEW_DEFAULT
7.8986,2549.3049,-28025.0416,0.000,FINISH,1,FINISH,TEST_SEGMENT_END,STOP,ALWAYS_ONCE,0.000,PREVIEW_DEFAULT
